team,styleTags,attackRating,midfieldRating,defenseRating,transitionRating,setPieceRating,squadTier,strengths,weaknesses,playingStyle,keyPlayers,source,updatedAt
Iraq,,75.75,75.47,75.97,75.47,75.47,solid,balanced profile,no major proxy weakness,,,"derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Ivory Coast,pressing|creativeAttack,74.79,72.48,73.18,72.68,71.68,limited,clean-sheet form|winning momentum,market-value data missing,Explosive attacking talent combined with aggressive pressing and flair on the ball.,"Sebastien Haller (FWD, FC Utrecht); Franck Kessie (MID, Al Ahli); Simon Adingra (FWD, Monaco)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Japan,pressing|transition|compact,82.10,80.93,83.83,83.73,80.73,strong,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,"Tactically astute with rapid transitions, high pressing, and disciplined defensive structure. Known for upsetting favorites.","Takefusa Kubo (FWD, Real Sociedad); Wataru Endo (MID, Liverpool); Kaoru Mitoma (FWD, Brighton)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Jordan,compact,75.05,74.70,76.90,74.70,75.30,solid,balanced profile,no major proxy weakness,Defensively organized with disciplined shape and capable of producing surprise results through collective effort.,"Mousa Al-Taamari (FWD, Montpellier); Yazan Al-Naimat (FWD, Young Boys); Yazeed Abo Laila (GK, Omonoia)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Mexico,transition|compact|setPieces,79.61,78.34,81.54,80.94,81.14,strong,front-line quality|defensive stability|transition threat|set pieces,no major proxy weakness,Defensively disciplined with quick transitions and strong set-piece play.,"Edson Alvarez (MID, Fenerbahce); Santiago Gimenez (FWD, AC Milan); Guillermo Ochoa (GK, AEL Limassol)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Morocco,transition|compact,83.80,81.69,85.39,84.29,82.29,strong,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,Defensively resolute with rapid counter-attacks and a fearless big-game mentality built on 2022 semi-final run.,"Achraf Hakimi (DEF, Paris Saint-Germain); Hakim Ziyech (MID, Wydad AC); Youssef En-Nesyri (FWD, Fenerbahce)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Netherlands,possession,85.10,85.42,84.42,83.42,83.42,elite,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,"Total Football philosophy with positional interchange, technical build-up, and possession dominance.","Cody Gakpo (FWD, Liverpool); Virgil van Dijk (DEF, Liverpool); Frenkie de Jong (MID, Barcelona)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
New Zealand,transition|compact|setPieces,73.65,72.87,74.07,75.47,75.67,solid,balanced profile,no major proxy weakness,"Resolute and hardworking with a direct, physical approach and strong team cohesion.","Chris Wood (FWD, Nottingham Forest); Liberato Cacace (DEF, Wrexham); Matt Garbett (MID, Torino)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Norway,transition|compact|setPieces,83.25,80.30,83.50,82.90,83.10,strong,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,"Direct and physical with a focus on getting the ball to star striker Haaland quickly, supported by disciplined defending.","Erling Haaland (FWD, Manchester City); Martin Odegaard (MID, Arsenal); Alexander Sorloth (FWD, Atletico Madrid)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Panama,compact|setPieces,76.45,76.10,78.30,76.10,78.90,solid,set pieces,no major proxy weakness,Physically strong and combative with an organized defensive block and aerial threat from set pieces.,"Michael Murillo (DEF, Anderlecht); Jose Fajardo (FWD, Saprissa); Adalberto Carrasquilla (MID, Houston Dynamo)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Paraguay,compact|setPieces,76.26,76.26,78.96,76.26,79.06,solid,set pieces,no major proxy weakness,Physically combative with a deep defensive block and dangerous set-piece delivery.,"Miguel Almiron (MID, Atlanta United); Julio Enciso (FWD, Strasbourg); Gustavo Gomez (DEF, Palmeiras)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Portugal,possession|creativeAttack,85.74,84.42,82.92,82.42,82.42,elite,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,"Technically excellent with patient build-up play, creative midfield, and devastating finishing from Cristiano Ronaldo.","Cristiano Ronaldo (FWD, Al Nassr); Bernardo Silva (MID, Manchester City); Rafael Leao (FWD, AC Milan)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Qatar,possession,73.02,75.72,72.72,73.72,73.72,solid,balanced profile,no major proxy weakness,Possession-based approach with emphasis on technical quality and tactical discipline.,"Akram Afif (FWD, Al Sadd); Almoez Ali (FWD, Al Duhail); Hassan Al-Haydos (MID, Al Sadd)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Saudi Arabia,possession,74.24,76.52,74.02,74.52,74.52,solid,balanced profile,no major proxy weakness,Possession-focused with improved tactical discipline and a growing emphasis on developing domestic talent.,"Salem Al-Dawsari (FWD, Al Hilal); Firas Al-Buraikan (FWD, Al Ahli); Mohammed Al-Owais (GK, Al Hilal)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Scotland,transition|possession|compact|setPieces,78.61,78.99,79.19,79.59,79.79,solid,defensive stability|transition threat|set pieces,no major proxy weakness,"Compact and disciplined with a low block and direct build-up, relying on set pieces and physicality.","Andrew Robertson (DEF, Liverpool); John McGinn (MID, Aston Villa); Scott McTominay (MID, Napoli)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Senegal,transition|compact|setPieces,83.97,81.44,85.14,84.04,84.24,strong,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,"Physically powerful with pace on the flanks, tactical discipline, and strong defensive organization.","Sadio Mane (FWD, Al Nassr); Kalidou Koulibaly (DEF, Al Hilal); Ismaila Sarr (FWD, Crystal Palace)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
South Africa,pressing|transition|creativeAttack,78.07,75.19,73.89,77.99,74.39,solid,balanced profile,no major proxy weakness,"High-energy pressing with young, athletic talent and direct attacking play.","Percy Tau (FWD, Thep Xanh Nam Dinh); Ronwen Williams (GK, Mamelodi Sundowns); Themba Zwane (MID, Mamelodi Sundowns)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
South Korea,pressing,78.68,79.27,79.97,79.47,78.47,strong,defensive stability|midfield control|transition threat|set pieces,no major proxy weakness,Tactically versatile with high pressing intensity and strong collective discipline.,"Son Heung-min (FWD, Tottenham Hotspur); Kim Min-jae (DEF, Bayern Munich); Lee Kang-in (MID, Paris Saint-Germain)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Spain,possession|compact,88.11,88.50,90.00,86.50,87.10,elite,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,"Tiki-taka evolved — possession-dominant with penetrating passing, young dynamic wingers, and a high defensive line.","Lamine Yamal (FWD, Barcelona); Pedri (MID, Barcelona); Rodri (MID, Manchester City)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Sweden,,75.73,75.87,74.87,75.87,75.87,solid,balanced profile,no major proxy weakness,,,"derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Switzerland,pressing|transition|possession|compact,83.58,83.99,84.89,84.79,81.79,strong,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,Organized and compact defensively with a structured build-up and ability to absorb pressure before striking on the counter.,"Granit Xhaka (MID, Bayer Leverkusen); Manuel Akanji (DEF, Manchester City); Breel Embolo (FWD, Monaco)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Tunisia,transition|compact|setPieces|creativeAttack,79.13,75.45,77.65,78.05,78.25,solid,front-line quality|set pieces,no major proxy weakness,Physically strong and well-organized with a pragmatic approach and clinical counter-attacking.,"Aissa Laidouni (MID, Al-Wakrah); Youssef Msakni (FWD, Esperance de Tunis); Hannibal Mejbri (MID, Burnley)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Turkey,,79.04,78.55,78.55,78.55,78.55,strong,front-line quality|set pieces|winning momentum,no major proxy weakness,,,"derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
United States,pressing|possession|creativeAttack,80.29,80.82,77.02,79.02,78.02,strong,front-line quality|midfield control|transition threat|set pieces,no major proxy weakness,"Athletic and high-pressing with a young, technically gifted squad and versatile attacking options.","Christian Pulisic (FWD, AC Milan); Weston McKennie (MID, Juventus); Yunus Musah (MID, AC Milan)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Uruguay,pressing|creativeAttack,84.39,82.92,83.62,83.12,82.12,elite,front-line quality|defensive stability|midfield control|transition threat,no major proxy weakness,"Aggressive pressing with relentless intensity, fluid attacking movements, and a fearless mentality under Bielsa's demanding system.","Federico Valverde (MID, Real Madrid); Darwin Nunez (FWD, Al-Hilal); Ronald Araujo (DEF, Barcelona)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
Uzbekistan,compact|setPieces,76.67,76.11,79.81,76.11,78.91,solid,defensive stability|set pieces|clean-sheet form,no major proxy weakness,Well-organized with a disciplined defensive shape and ability to compete physically against stronger opponents.,"Eldor Shomurodov (FWD, Istanbul Basaksehir); Abbosbek Fayzullaev (MID, Istanbul Basaksehir); Otabek Shukurov (MID, Baniyas)","derived proxy from wc26 profile, team-current Elo/form, FIFA, and market value",2026-06-11
